epoch	train_loss	test_loss	threshold	Macro-F1	mAP	Precision@5
1	0.575310	0.439163	0.300000	0.107462	0.128533	0.102684
2	0.382495	0.314690	0.450000	0.322936	0.358481	0.213568
3	0.291041	0.270997	0.550000	0.389736	0.395388	0.231235
4	0.242135	0.249467	0.600000	0.412862	0.416184	0.234944
5	0.208019	0.242234	0.600000	0.417670	0.420574	0.236408
6	0.180309	0.237405	0.550000	0.434083	0.428407	0.239043
7	0.156529	0.237676	0.550000	0.437978	0.422242	0.239727
8	0.136952	0.239738	0.550000	0.437166	0.426987	0.238263
9	0.120078	0.240431	0.700000	0.438627	0.426279	0.238653
10	0.105614	0.252116	0.550000	0.444984	0.422736	0.238555
11	0.093811	0.255286	0.600000	0.435007	0.421418	0.239727
12	0.083958	0.258564	0.500000	0.434485	0.425346	0.241288
13	0.075738	0.264850	0.500000	0.439788	0.424031	0.237579
14	0.068845	0.278396	0.450000	0.436152	0.421055	0.238263
15	0.063247	0.286890	0.450000	0.436936	0.421563	0.238165
16	0.058681	0.289143	0.500000	0.436721	0.419459	0.238848
17	0.054845	0.295304	0.400000	0.438888	0.419353	0.239531
18	0.052140	0.299073	0.350000	0.439578	0.420095	0.238946
19	0.050208	0.302297	0.400000	0.436639	0.418794	0.238458
20	0.048724	0.302878	0.350000	0.437162	0.419864	0.238946
