epoch	train_loss	test_loss	mAP	    F1-score
    1	0.5819	    0.4461  	0.1173	0.0475
    2	0.3920	    0.3193	    0.3453	0.0988
    3	0.2990	    0.2716	    0.4009	0.1352
    4	0.2499	    0.2514	    0.4133	0.1613
    5	0.2162	    0.2410	    0.4217	0.1814
    6	0.1890	    0.2345   	0.4255	0.1993
    7	0.1660	    0.2350	    0.4253	0.2109
    8	0.1465	    0.2339	    0.4284	0.2223
    9	0.1296	    0.2401	    0.4227	0.2370
    10	0.1154	    0.2409  	0.4251	0.2467
    11	0.1033  	0.2475	    0.4239	0.2556
    12	0.0931  	0.2549	    0.4252	0.2666
    13	0.0848	    0.2557	    0.4246	0.2731
    14	0.0777  	0.2645	    0.4222	0.2811
    15	0.0718	    0.2719	    0.4203	0.2881
    16	0.0671    	0.2775	    0.4205	0.2939
    17	0.0634  	0.2847	    0.4230	0.3004
    18	0.0605	    0.2843  	0.4207	0.3019
    19	0.0583  	0.2874	    0.4194	0.3036
    20	0.0568	    0.2882	    0.4194	0.3050
