epoch	train_loss	test_loss	mAP	F1-score
1	0.6248	0.4837	0.0411	0.0392
2	0.4593	0.3988	0.1841	0.0644
3	0.3763	0.3424	0.2743	0.0908
4	0.3256	0.3168	0.2999	0.1084
5	0.2910	0.2996	0.3150	0.1230
6	0.2640	0.2904	0.3239	0.1337
7	0.2434	0.2858	0.3241	0.1420
8	0.2240	0.2819	0.3289	0.1513
9	0.2073	0.2802	0.3330	0.1559
10	0.1941	0.2807	0.3329	0.1649
11	0.1822	0.2805	0.3355	0.1691
12	0.1714	0.2812	0.3359	0.1725
13	0.1622	0.2814	0.3350	0.1764
14	0.1542	0.2848	0.3359	0.1823
15	0.1468	0.2869	0.3322	0.1844
16	0.1416	0.2879	0.3326	0.1869
17	0.1364	0.2883	0.3334	0.1887
18	0.1335	0.2897	0.3336	0.1910
19	0.1310	0.2907	0.3333	0.1926
20	0.1292	0.2915	0.3330	0.1931
